video_id,old_title,old_description
CSnDdQj8vEc,Hearthstone  Heroes of Warcraft   2026 03 23T18 12 24,"Hearthstone  Heroes of Warcraft   2026 03 23T18 12 24 – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Hearthstone  Heroes of Warcraft   2026 03 23T18 12 24 boss fight"
8WzqAzkw6dI,Hearthstone  Heroes of Warcraft   2026 03 23T18 20 28,"Hearthstone  Heroes of Warcraft   2026 03 23T18 20 28 – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Hearthstone  Heroes of Warcraft   2026 03 23T18 20 28 boss fight"
KkmtoKkEQzQ,Hearthstone  Heroes of Warcraft   2026 03 23T18 25 45,"Hearthstone  Heroes of Warcraft   2026 03 23T18 25 45 – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Hearthstone  Heroes of Warcraft   2026 03 23T18 25 45 boss fight"
70Qv1sgKMG0,Hearthstone  Heroes of Warcraft   2026 03 23T18 29 41,"Hearthstone  Heroes of Warcraft   2026 03 23T18 29 41 – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Hearthstone  Heroes of Warcraft   2026 03 23T18 29 41 boss fight"
ZCcbhn1HFz8,Hearthstone  Heroes of Warcraft   2026 03 23T19 16 39,"Hearthstone  Heroes of Warcraft   2026 03 23T19 16 39 – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Hearthstone  Heroes of Warcraft   2026 03 23T19 16 39 boss fight"
Qn4NsmT7MoA,Hearthstone  Heroes of Warcraft   2026 03 23T19 21 37,"Hearthstone  Heroes of Warcraft   2026 03 23T19 21 37 – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Hearthstone  Heroes of Warcraft   2026 03 23T19 21 37 boss fight"
pRm2v7PLUj0,Hearthstone  Heroes of Warcraft   2026 03 23T19 31 28,"Hearthstone  Heroes of Warcraft   2026 03 23T19 31 28 – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Hearthstone  Heroes of Warcraft   2026 03 23T19 31 28 boss fight"
GkBTpcwM4f0,Hearthstone  Heroes of Warcraft   2026 03 23T19 45 34,"Hearthstone  Heroes of Warcraft   2026 03 23T19 45 34 – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Hearthstone  Heroes of Warcraft   2026 03 23T19 45 34 boss fight"
amSq3jZt2LU,Hearthstone Heroes of Warcraft  2026 03 23T19 40 37,"Hearthstone Heroes of Warcraft  2026 03 23T19 40 37 – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Hearthstone Heroes of Warcraft  2026 03 23T19 40 37 boss fight"
NDa8bC6SL68,Hearthstone  Heroes of Warcraft   2026 03 23T19 53 08,"Hearthstone  Heroes of Warcraft   2026 03 23T19 53 08 – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Hearthstone  Heroes of Warcraft   2026 03 23T19 53 08 boss fight"
a38Bg2CO4J4,Hearthstone  Heroes of Warcraft   2026 03 23T15 36 53,"Hearthstone  Heroes of Warcraft   2026 03 23T15 36 53 – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Hearthstone  Heroes of Warcraft   2026 03 23T15 36 53 boss fight"
